Quoi	Ou	Description	TimeDebut	TimeFin	tag
Testdevenement	Travail	Test#3	${12ad}	2233	{EMPTY}
Testdevenement	Chez_moi	Test1	1200	@{%$%@}	123
Testdevenement	A_Ecole	Test#3	${12ad}	${ad36}	@#!@
Testdevenement	ChezPop	Test#3	2100	1900	abx
Test2	A_Ecole	Test1	1500	${ad36}	abc123
Test3	ChezPop	Test#2	${EMPTY}	2134	afe
Test3	AUlit	Test1	${11:25}	1900	{EMPTY}
Test3	Chez_moi	Test#2	${11:25}	${ad36}	afe
Testdevenement	Travail	Test1	1500	${EMPTY}	123
Testdevenement	ChezPop	Test#3	${@#!@$}	2000	adad
Test3	Travail	Test1	1100	2233	{EMPTY}
Test2	Travail	Test#2	${1560	${1687}	abx
Test3	ChezPop	Test1	${@#!@$}	2134	123
Test3	ChezPop	Test#3	${1560	${ad36}	@#!@
Test2	A_Ecole	Test#3	${abc}	@{%$%@}	123
Test2	AUlit	Test#3	${11:25}	2000	abx
Test3	AUlit	Test1	1530	2000	abc123
Test3	Travail	Test1	${abc}	2233	@#!@
Test2	AUlit	Test1	${1560	2134	abc123
Testdevenement	ChezPop	Test1	${@#!@$}	@{%$%@}	{EMPTY}
Testdevenement	A_Ecole	Test1	${11:25}	2134	adad
Testdevenement	Chez_moi	Test1	${11:25}	${1687}	abx
Test2	AUlit	Test#2	${EMPTY}	1900	abx
Test3	AUlit	Test1	1500	2134	@#!@
Test3	ChezPop	Test#3	1500	@{%$%@}	abc123
Test2	AUlit	Test1	${1560	${pacd}	123
Test2	ChezPop	Test#3	1200	2233	123
Testdevenement	ChezPop	Test#3	1500	1900	@#!@
Test3	A_Ecole	Test1	1100	2000	afe
Testdevenement	AUlit	Test#3	1100	${ad36}	abc123
Test2	Chez_moi	Test#2	${abc}	${EMPTY}	{EMPTY}
Test3	ChezPop	Test1	${11:25}	2233	abc123
Testdevenement	Travail	Test#3	1100	1900	123
Test2	Chez_moi	Test1	2100	${ad36}	afe
Test2	AUlit	Test1	2100	2134	abc123
Test2	AUlit	Test1	2100	2000	@#!@
Testdevenement	Chez_moi	Test1	${12ad}	${pacd}	abc123
Test2	A_Ecole	Test#3	1500	2000	123
Test3	A_Ecole	Test1	${11:25}	${EMPTY}	123
Test3	ChezPop	Test#3	${EMPTY}	1230	{EMPTY}
Test3	A_Ecole	Test1	2100	${EMPTY}	adad
